,0,1,2
20,鋼の錬金術師,エドワード・エルリック, おまえはさ... ラッシュバレーで赤ん坊取り上げて母子を救っただろ オレに立ち上がるための手と足をくれただろ おまえの手は人を殺す手じゃない 人を生かす手だ 
21,からくりサーカス,加藤鳴海, ちらちらと人形が見える。 人形使いか!? わかんねえ...でも、後ろのヤツーー 頼もしいぜ！ 
22,進撃の巨人,エレン・イェーガー, 駆逐してやる！！ この世から...一匹...残らず！！ 
23,NARUTO -ナルト-,ヒナタ, いつもナルト君を追いかけて... ...ナルト君に追いつきたくて... いつだってナルト君と一緒に歩きたくて... いつもナルト君のところへ... ナルト君が私を変えてくれた！ ナルト君の笑顔が私を救ってくれた！ だからナルト君を守るためなら死ぬことなんて怖くない！！ 私はナルト君がーー大好きだから... 
24,弱虫ペダル,小野田 坂道, 空耳か 皆さんの声がきこえる でもすいません ふり返って応えることができません もうほとんど力のこってないから ボクにできることはひとつしかないです ジャージを 皆さんに託されたこのジャージを 精一杯ゴールに届けることしかできないんです 
25,ONE PIECE,メリー, 今まで大切にしてくれて どうもありがとう ぼくは 本当に 幸せだった 
26,キングダム,政, ちょっとだけ つかまらせてもらっていいか… ……すまねェ ……気にするな 俺はもう何度もお前につかまっている 
27,賭博黙示録 カイジ,カイジ, オレは.........負けたんだ...... 敗者は失うっ...！ それをねじ曲げたら.........なにがないやらわからない...... 受け入れるべきだっ...！ 負けを受け入れることが...敗者の誇り...オレは...... 負けをぼかさないっ.........！
28,宇宙兄弟,南波日々人, 世の中に”絶対”はないかもな でもダイジョウブ 俺ん中にあるから 
29,３月のライオン,宗谷冬司, ーーー気づかなかったね... 君は僕を信用しすぎだ 
30,北斗の拳,ラオウ, わが生涯に一片の悔いなし!! 
31,進撃の巨人,ミカサ・アッカーマン, 私と......一緒にいてくれてありがとう 私に......生き方を教えてくれてありがとう ......私に マフラーを巻いてくれてありがとう...... 
32,鋼の錬金術師,エドワード・エルリック＆ウィンリィ・ロックベル, 等価交換だ 俺の人生半分やるから おまえの人生半分くれ！   あーもう どうして錬金術師ってそうなのよ 等価交換の法則とかってバッカじゃないの？ ほんとバカね 半分どころか全部あげるわよ 
33,NARUTO -ナルト-,サスケ, ...るっせーよ... ウスラトンカチ 
34,ONE PIECE,ビビ＆麦わらの一味, いつかまた会えたら!!! もう一度 仲間と呼んでくれますか!!!? 
